"Name";"DisplayName";"Description";"Enabled";"Direction";"Action";"Profile";"PolicyStore";"EdgeTraversalPolicy";"Platform";"Program";"Service";"InterfaceType";"InterfaceAlias";"ApplicationName";"ServiceName";"Group";"Owner";"DisplayGroup";"EnabledToString";"RuleState";"LocalAddresses";"RemoteAddresses";"LocalPorts";"RemotePorts";"Protocol";"Application";"IPsec";"Filters"
"PNRPMNRS-PNRP-In-UDP";"Service d’inscription de nom d’ordinateur Espace de collaboration Windows (PNRP-In)";"Règle de trafic entrant pour que le service d’inscription de nom d’ordinateur Espace de collaboration Windows autorise le protocole PNRP (Peer Name Resolution Protocol). [UDP 3540]";"False";"Inbound";"Allow";"Any";;"DeferToApp";"System.String[]";;;;;;;"@FirewallAPI.dll,-34002";;"Service d’inscription de nom d’ordinateur Espace de collaboration Windows";"True";"Active";"Any";"Any";"3540";"Any";"UDP";"%SystemRoot%\system32\svchost.exe";"";""
"NETDIS-NB_Name-Out-UDP";"Découverte de réseau (NB-Nom-Sortie)";"Règle de trafic sortant pour la découverte de réseau pour autoriser la résolution de noms NETBIOS. [UDP 137]";"True";"Outbound";"Allow";"Public";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-32752";;"Recherche du réseau";"True";"Active";"Any";"LocalSubnet";"Any";"137";"UDP";"System";"";""
"NETDIS-NB_Datagram-Out-UDP";"Découverte de réseau (NB-Datagramme-Sortie)";"Règle de trafic sortant pour la découverte de réseau pour autoriser la transmission et la réception des datagrammes NETBIOS. [UDP 138]";"True";"Outbound";"Allow";"Public";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-32752";;"Recherche du réseau";"True";"Active";"Any";"LocalSubnet";"Any";"138";"UDP";"System";"";""
"Collab-P2PHost-WSD-In-UDP";"Windows Peer to Peer Collaboration Foundation (WSD-Entrée)";"Règle de trafic entrant pour Windows Peer to Peer Collaboration Foundation pour détecter les périphériques via WSDAPI. [UDP 3702]";"False";"Inbound";"Allow";"Any";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-32002";;"Windows Peer to Peer Collaboration Foundation";"True";"Active";"Any";"LocalSubnet";"3702";"Any";"UDP";"%SystemRoot%\system32\p2phost.exe";"";""
"RemoteEventLogSvc-In-TCP";"Gestion à distance des journaux des événements (RPC)";"Règle de trafic entrant pour que le service d’enregistrement d’événements local soit géré à distance via RPC/TCP.";"False";"Inbound";"Allow";"Private, Public";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-29252";;"Gestion à distance des journaux des événements";"True";"Active";"Any";"LocalSubnet";"RPC";"Any";"TCP";"%SystemRoot%\system32\svchost.exe";"";""
"CoreNet-IPv6-In";"Gestion réseau de base - IPv6 (Trafic entrant IPv6)";"Règle de trafic entrant requise pour autoriser le trafic IPv6 pour les services de tunneling ISATAP (protocole d’adressage tunnel intra-site) et 6to4.";"True";"Inbound";"Allow";"Any";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-25000";;"Réseau de base";"True";"Active";"Any";"Any";"Any";"Any";"41";"System";"";""
"CDPSvc-WFD-Out-TCP";"Plateforme d’appareils connectés - Transport Wi-Fi Direct (TCP-sortant)";"Règle de trafic sortant permettant d'utiliser le trafic Wi-Fi Direct dans la plateforme d’appareils connectés [TCP]";"True";"Outbound";"Allow";"Public";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-37402";;"Plateforme d’appareils connectés";"True";"Active";"Any";"Any";"Any";"Any";"TCP";"%SystemRoot%\system32\svchost.exe";"";""
"NETDIS-LLMNR-In-UDP";"Découverte de réseau (LLMNR-UDP-Entrée)";"Règle de trafic entrant pour la découverte de réseau pour autoriser la résolution LLMNR (Link Local Multicast Name Resolution). [UDP 5355]";"False";"Inbound";"Allow";"Domain";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-32752";;"Recherche du réseau";"True";"Active";"Any";"LocalSubnet";"5355";"Any";"UDP";"%SystemRoot%\system32\svchost.exe";"";""
"RemoteEventLogSvc-NP-In-TCP";"Gestion à distance des journaux des événements (NP-Entrée)";"Règle de trafic entrant pour que le service d’enregistrement d’événements local soit géré à distance par le biais de canaux nommés.";"False";"Inbound";"Allow";"Private, Public";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-29252";;"Gestion à distance des journaux des événements";"True";"Active";"Any";"LocalSubnet";"445";"Any";"TCP";"System";"";""
"SNMPTRAP-In-UDP";"Service d’interruption SNMP (UDP entrant)";"Règle de trafic entrant pour que le service d’interruption SNMP autorise les interruptions SNMP. [UDP 162]";"False";"Inbound";"Allow";"Private, Public";;"Block";"System.String[]";;;;;;;"@firewallapi.dll,-50323";;"Interruption SNMP";"True";"Active";"Any";"LocalSubnet";"162";"Any";"UDP";"%SystemRoot%\system32\snmptrap.exe";"";""
"MDNS-Out-UDP-Domain-Active";"mDNS (UDP-Sortie)";"Règle de trafic sortant pour le trafic mDNS [UDP]";"True";"Outbound";"Allow";"Domain";;"Block";"System.String[]";;;;;;;"@%SystemRoot%\system32\firewallapi.dll,-37302";;"mDNS";"True";"Active";"Any";"Any";"Any";"5353";"UDP";"%SystemRoot%\system32\svchost.exe";"";""
"DeliveryOptimization-UDP-In";"Optimisation de livraison (UDP entrant)";"Règle de trafic entrant pour permettre au service Optimisation de livraison de se connecter aux points de terminaison distants";"True";"Inbound";"Allow";"Any";;"Allow";"System.String[]";;;;;;;"@%systemroot%\system32\dosvc.dll,-100";;"Optimisation de livraison";"True";"Active";"Any";"Any";"7680";"Any";"UDP";"%SystemRoot%\system32\svchost.exe";"";""
"CoreNet-ICMP6-PP-Out";"Gestion réseau de base - problème de paramètres (ICMPv6 sortant)";"Les messages d’erreur Problème de paramètre sont envoyés par les nœuds suite à des paquets qui n’ont pas été correctement générés.";"True";"Outbound";"Allow";"Any";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-25000";;"Réseau de base";"True";"Active";"Any";"Any";"RPC";"Any";"ICMPv6";"System";"";""
"CoreNet-ICMP6-RA-In";"Réseau de base - Publication de routage (ICMPv6 entrant)";"Les messages de publication de routeur sont envoyés par des routeurs à d’autres nœuds pour appliquer une configuration automatique sans état.";"True";"Inbound";"Allow";"Any";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-25000";;"Réseau de base";"True";"Active";"Any";"fe80::/64";"RPC";"Any";"ICMPv6";"System";"";""
"CoreNet-ICMP4-DUFRAG-In";"Gestion réseau de base - Destination inaccessible Fragmentation nécessaire (Trafic entrant ICMPv4)";"Les messages d'erreur Destination inaccessible Fragmentation requise sont envoyés à partir des nœuds qu'un paquet traverse et qui ne peuvent pas transmettre le paquet, car une fragmentation était nécessaire et l'octet ne pas fragmenter était défini.";"True";"Inbound";"Allow";"Any";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-25000";;"Réseau de base";"True";"Active";"Any";"Any";"RPC";"Any";"ICMPv4";"System";"";""
"CoreNet-DHCP-In";"Réseau de base - Protocole DHCP (DHCP-In)";"Autorise les messages DHCP (Dynamic Host Configuration Protocol) pour la configuration automatique avec état.";"True";"Inbound";"Allow";"Any";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-25000";;"Réseau de base";"True";"Active";"Any";"Any";"68";"67";"UDP";"%SystemRoot%\system32\svchost.exe";"";""
"NETDIS-DAS-In-UDP-Active";"Découverte de réseau (WSD entrant)";"Règle de trafic entrant pour que Découverte de réseau découvre les périphériques par l’infrastructure d’association de périphériques. [UDP 3702]";"True";"Inbound";"Allow";"Private";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-32752";;"Recherche du réseau";"True";"Active";"Any";"LocalSubnet";"3702";"Any";"UDP";"%SystemRoot%\system32\dashost.exe";"";""
"RRAS-GRE-In";"Routage et accès distant (GRE-Entrée)";"Règle de trafic entrant pour RRAS pour autoriser le trafic de protocole GRE (Generic Routing Encapsulation).";"False";"Inbound";"Allow";"Any";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-33752";;"Routage et accès distant";"True";"Active";"Any";"Any";"Any";"Any";"47";"System";"";""
"TPMVSCMGR-RPCSS-In-TCP-NoScope";"Gestion de carte à puce virtuelle TPM (DCOM-In)";"Règle de trafic entrant pour la gestion de carte à puce virtuelle TPM à distance destinée à autoriser l’activation de DCOM. [TCP 135]";"False";"Inbound";"Allow";"Domain";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-36501";;"Gestion de carte à puce virtuelle TPM";"True";"Active";"Any";"Any";"135";"Any";"TCP";"%SystemRoot%\system32\svchost.exe";"";""
"CoreNet-DHCPV6-In";"Réseau de base - Protocole DHCP pour IPv6 (DHCPV6-In)";"Autorise les messages DHCPV6 (Dynamic Host Configuration Protocol pour IPv6) pour la configuration avec et sans état.";"True";"Inbound";"Allow";"Any";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-25000";;"Réseau de base";"True";"Active";"Any";"Any";"546";"547";"UDP";"%SystemRoot%\system32\svchost.exe";"";""
"MSDTC-KTMRM-In-TCP";"Coordinateur de transactions distribuées (RPC)";"Règle de trafic entrant pour le Gestionnaire de ressources de transaction noyau que le service Coordinateur de transactions distribuées gère à distance via RPC/TCP.";"False";"Inbound";"Allow";"Private, Public";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-33502";;"Coordinateur de transactions distribuées";"True";"Active";"Any";"LocalSubnet";"RPC";"Any";"TCP";"%SystemRoot%\system32\svchost.exe";"";""
"NETDIS-SSDPSrv-In-UDP-Teredo";"Découverte de réseau pour Teredo (SSDP-Entrée)";"Règle de trafic entrant pour la découverte de réseau pour autoriser l’utilisation du protocole SSDP (Simple Service Discovery Protocol). [UDP 1900]";"True";"Inbound";"Allow";"Public";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-32752";;"Recherche du réseau";"True";"Active";"Any";"Any";"Any";"Any";"UDP";"%SystemRoot%\system32\svchost.exe";"";""
"MsiScsi-Out-TCP";"Service iSCSI (TCP-Sortie)";"Règle de trafic sortant pour le service iSCSI pour autoriser les communications avec un périphérique ou un serveur iSCSI. [TCP]";"False";"Outbound";"Allow";"Private, Public";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-29002";;"Service iSCSI";"True";"Active";"Any";"LocalSubnet";"Any";"Any";"TCP";"%SystemRoot%\system32\svchost.exe";"";""
"NETDIS-UPnP-Out-TCP";"Découverte du réseau (Trafic sortant sur l’hôte du périphérique Plug-and-Play universel)";"Règle de trafic sortant pour la découverte du réseau qui autorise l’utilisation de périphériques Plug-and-Play universels [TCP]";"False";"Outbound";"Allow";"Domain";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-32752";;"Recherche du réseau";"True";"Active";"Any";"LocalSubnet";"Any";"2869";"TCP";"%SystemRoot%\system32\svchost.exe";"";""
"CDPSvc-Out-TCP";"Plateforme d’appareils connectés (TCP-sortant)";"Règle de trafic sortant pour le trafic de la plateforme d’appareils connectés [TCP]";"True";"Outbound";"Allow";"Domain, Private";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-37402";;"Plateforme d’appareils connectés";"True";"Active";"Any";"Any";"Any";"Any";"TCP";"%SystemRoot%\system32\svchost.exe";"";""
"MSDTC-RPCSS-In-TCP-NoScope";"Coordinateur de transactions distribuées (RPC-EPMAP)";"Règle de trafic entrant du service RPCSS pour autoriser le trafic RPC/TCP pour le service Coordinateur de transactions distribuées pour le Gestionnaire de ressources de transaction noyau.";"False";"Inbound";"Allow";"Domain";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-33502";;"Coordinateur de transactions distribuées";"True";"Active";"Any";"Any";"RPCEPMap";"Any";"TCP";"%SystemRoot%\system32\svchost.exe";"";""
"WFDPRINT-SCAN-In-Active";"Utilisation de service de numérisation Wi-Fi Direct (Entrée)";"Règle de trafic entrant relative à l’utilisation de scanneurs WSD sur des réseaux Wi-Fi Direct.";"True";"Inbound";"Allow";"Public";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-36851";;"Découverte de réseau Wi-Fi Direct";"True";"Active";"Any";"Any";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";"";""
"RemoteAssistance-PnrpSvc-UDP-OUT";"Assistance à distance (PRNP - en sortie)";"Règle de trafic sortant d’Assistance à distance qui autorise l’utilisation du protocole PRNP. [UDP]";"True";"Outbound";"Allow";"Public";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-33002";;"Assistance à distance";"True";"Active";"Any";"Any";"Any";"Any";"UDP";"%systemroot%\system32\svchost.exe";"";""
"NETDIS-FDPHOST-In-UDP-Active";"Découverte de réseau (WSD-Entrée)";"Règle de trafic entrant pour que la Découverte du réseau découvre les périphériques via la découverte de fonctions. [UDP 3702]";"True";"Inbound";"Allow";"Private";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-32752";;"Recherche du réseau";"True";"Active";"Any";"LocalSubnet";"3702";"Any";"UDP";"%SystemRoot%\system32\svchost.exe";"";""
"CoreNet-ICMP6-RS-Out";"Réseau de base - Sollicitation des routeurs (ICMPv6 sortant)";"Les messages Sollicitation de routeur sont envoyés par des nœuds qui recherchent des routeurs pour fournir une configuration automatique sans état.";"True";"Outbound";"Allow";"Any";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-25000";;"Réseau de base";"True";"Active";"Any";"LocalSubnet6;ff02::2;fe80::/64";"RPC";"Any";"ICMPv6";"System";"";""
"RemoteAssistance-SSDPSrv-Out-UDP-Active";"Assistance à distance (SSDP UDP - en sortie)";"Règle de trafic sortant pour l’Assistance à distance pour autoriser l’utilisation du protocole SSDP (Simple Service Discovery Protocol). [UDP 1900]";"True";"Outbound";"Allow";"Domain, Private";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-33002";;"Assistance à distance";"True";"Active";"Any";"LocalSubnet";"Any";"1900";"UDP";"%SystemRoot%\system32\svchost.exe";"";""
"RemoteAssistance-SSDPSrv-Out-TCP-Active";"Assistance à distance (SSDP TCP - en sortie)";"Règle de trafic sortant d’Assistance à distance qui autorise l’utilisation de périphériques Plug-and-Play universels [TCP]";"True";"Outbound";"Allow";"Domain, Private";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-33002";;"Assistance à distance";"True";"Active";"Any";"LocalSubnet";"Any";"Any";"TCP";"System";"";""
"NETDIS-WSDEVNT-In-TCP-Active";"Découverte du réseau (Événements WSD-Trafic entrant)";"Règle de trafic entrant pour la découverte du réseau qui autorise les événements WSDAPI via la découverte de fonction [TCP 5357]";"True";"Inbound";"Allow";"Private";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-32752";;"Recherche du réseau";"True";"Active";"Any";"LocalSubnet";"5357";"Any";"TCP";"System";"";""
"CoreNet-ICMP6-NDS-In";"Réseau de base - Sollicitation de découverte de voisin (ICMPv6 entrant)";"Les sollicitations de découverte de voisin sont envoyées par des nœuds pour découvrir l’adresse de couche de liaison d’un autre nœud IPv6 on-link.";"True";"Inbound";"Allow";"Any";;"Allow";"System.String[]";;;;;;;"@FirewallAPI.dll,-25000";;"Réseau de base";"True";"Active";"Any";"Any";"RPC";"Any";"ICMPv6";"System";"";""
"EventForwarder-RPCSS-In-TCP";"Moniteur d’événements distants (RPC-EPMAP)";"Règle de trafic entrant pour le service RPCSS autorisant la surveillance d’événements distants du trafic RPC/TCP.";"False";"Inbound";"Allow";"Any";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-36801";;"Moniteur d’événements distants";"True";"Active";"Any";"Any";"RPCEPMap";"Any";"TCP";"%SystemRoot%\system32\svchost.exe";"";""
"RemoteAssistance-DCOM-In-TCP-NoScope-Active";"Assistance à distance (DCOM-In)";"Règle de trafic entrant pour que l’assistance à distance autorise les offres d’assistance via DCOM. [TCP 135]";"True";"Inbound";"Allow";"Domain";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-33002";;"Assistance à distance";"True";"Active";"Any";"Any";"135";"Any";"TCP";"%SystemRoot%\system32\svchost.exe";"";""
"NETDIS-UPnPHost-Out-TCP-Active";"Découverte de réseau (UPnP-Sortie)";"Règle de trafic sortant pour la découverte du réseau qui autorise l’utilisation de périphériques Plug-and-Play universels [TCP]";"True";"Outbound";"Allow";"Private";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-32752";;"Recherche du réseau";"True";"Active";"Any";"LocalSubnet";"Any";"2869";"TCP";"%SystemRoot%\system32\svchost.exe";"";""
"NETDIS-WSDEVNTS-In-TCP-Active";"Découverte du réseau (WSD EventsSecure-In)";"Règle de trafic entrant pour que la Découverte du réseau autorise les événements WSDAPI sécurisés via la découverte des fonctions. [TCP 5358]";"True";"Inbound";"Allow";"Private";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-32752";;"Recherche du réseau";"True";"Active";"Any";"LocalSubnet";"5358";"Any";"TCP";"System";"";""
"RVM-RPCSS-In-TCP";"Gestion des volumes à distance (RPC-EPMAP)";"Règle de trafic entrant du service RPCSS qui autorise le trafic RPC/TCP pour la gestion des volumes à distance.";"True";"Inbound";"Allow";"Private, Public";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-34501";;"Gestion des volumes à distance";"True";"Active";"Any";"LocalSubnet";"RPCEPMap";"Any";"TCP";"%SystemRoot%\system32\svchost.exe";"";""
"RemoteAssistance-RAServer-In-TCP-NoScope-Active";"Assistance à distance (Trafic entrant TCP sur le serveur d’Assistance à distance)";"Règle de trafic entrant d’Assistance à distance [TCP]";"True";"Inbound";"Allow";"Domain";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-33002";;"Assistance à distance";"True";"Active";"Any";"Any";"Any";"Any";"TCP";"%SystemRoot%\system32\raserver.exe";"";""
"NETDIS-UPnPHost-In-TCP-Active";"Découverte de réseau (UPnP-Entrée)";"Règle de trafic entrant pour la découverte de réseau pour autoriser l’utilisation du Plug-and-Play universel. [TCP 2869]";"True";"Inbound";"Allow";"Private";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-32752";;"Recherche du réseau";"True";"Active";"Any";"LocalSubnet";"2869";"Any";"TCP";"System";"";""
"RemoteEventLogSvc-RPCSS-In-TCP-NoScope";"Gestion à distance des journaux des événements (RPC-EPMAP)";"Règle de trafic entrant pour le service RPCSS pour autoriser le trafic RPC/TCP pour le service d’enregistrement d’événements local.";"False";"Inbound";"Allow";"Domain";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-29252";;"Gestion à distance des journaux des événements";"True";"Active";"Any";"Any";"RPCEPMap";"Any";"TCP";"%SystemRoot%\system32\svchost.exe";"";""
"CoreNet-ICMP6-LR2-Out";"Réseau de base - Rapport d’écouteur de multidiffusion v2 (ICMPv6 sortant)";"Le message Rapport de l’écouteur multidiffusion v2 est utilisé par un nœud d’écoute pour signaler immédiatement son intérêt dans la réception de trafic multidiffusion à une adresse de multidiffusion spécifique ou en réponse à une demande d’un écouteur multidiffusion.";"True";"Outbound";"Allow";"Any";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-25000";;"Réseau de base";"True";"Active";"Any";"LocalSubnet6";"RPC";"Any";"ICMPv6";"System";"";""
"CoreNet-Diag-ICMP6-EchoRequest-Out";"Diagnostics de réseau de base - Demande d'écho ICMP (ICMPv6-Sortant)";"Les messages Demande d’écho ICMP sont envoyés en tant que demandes Ping à d’autres nœuds.";"False";"Outbound";"Allow";"Private, Public";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-27000";;"Diagnostics de réseau de base";"True";"Active";"Any";"LocalSubnet6";"RPC";"Any";"ICMPv6";"System";"";""
"EventForwarder-In-TCP";"Moniteur d’événements distants (RPC)";"Règle de trafic entrant pour la surveillance d’événements distants via RPC/TCP.";"False";"Inbound";"Allow";"Any";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-36801";;"Moniteur d’événements distants";"True";"Active";"Any";"Any";"RPC";"Any";"TCP";"%SystemRoot%\system32\NetEvtFwdr.exe";"";""
"NVS-FrameServer-In-UDP-NoScope";"Source réseau Microsoft Media Foundation en entrée [UDP 5004-5009]";"Règle de trafic entrant pour que le SVC de capture de Microsoft Media Foundation ouvre le port UDP pour activer RTSP";"True";"Inbound";"Allow";"Any";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-54001";;"Source réseau Microsoft Media Foundation";"True";"Active";"Any";"LocalSubnet";"5000-5020";"Any";"UDP";"%SystemRoot%\system32\svchost.exe";"";""
"Microsoft-Windows-Enrollment-WinRT-TCP-Out";"Service d'inscription de gestion des périphériques Windows (TCP sortant)";"Autoriser le trafic TCP sortant à partir du service d'inscription de gestion des périphériques Windows";"True";"Outbound";"Allow";"Any";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-37502";;"Gestion des périphériques Windows";"True";"Active";"Any";"Any";"49152-65535";"Any";"TCP";"%SystemRoot%\system32\svchost.exe";"";""
"SNMPTRAP-In-UDP-NoScope";"Service d’interruption SNMP (UDP entrant)";"Règle de trafic entrant pour que le service d’interruption SNMP autorise les interruptions SNMP. [UDP 162]";"False";"Inbound";"Allow";"Domain";;"Block";"System.String[]";;;;;;;"@firewallapi.dll,-50323";;"Interruption SNMP";"True";"Active";"Any";"Any";"162";"Any";"UDP";"%SystemRoot%\system32\snmptrap.exe";"";""
"WMI-ASYNC-In-TCP";"Windows Management Instrumentation (ASync-In)";"Règle de trafic entrant pour autoriser le trafic WMI asynchrone pour Windows Management Instrumentation sur l’ordinateur distant. [TCP]";"False";"Inbound";"Allow";"Private, Public";;"Block";"System.String[]";;;;;;;"@FirewallAPI.dll,-34251";;"Infrastructure de gestion Windows (WMI)";"True";"Active";"Any";"LocalSubnet";"Any";"Any";"TCP";"%systemroot%\system32\wbem\unsecapp.exe";"";""
